OZNACZENIE,P [mm],d [mm],d2 [mm],d1 [mm],d3 [mm],A [mm2]
M115,6,115,111.103,108.505,107.639,9095.1
M115x4,4,115,112.402,110.670,110.093,9514.5
M115x3,3,115,113.051,111.752,111.319,9727.7
M115x2,2,115,113.701,112.835,112.546,9943.3
"M115x1,5",1.5,115,114.026,113.376,113.160,10052.0
M120,6,120,116.103,113.505,112.639,9959.7
M120x4,4,120,117.402,115.670,115.093,10398.3
M120x3,3,120,118.051,116.752,116.319,10621.2
M120x2,2,120,118.701,117.835,117.546,10846.4
"M120x1,5",1.5,120,119.026,118.376,118.160,10959.9
M125,6,125,121.103,118.505,117.639,10863.5
M125x4,4,125,122.402,120.670,120.093,11321.4
M125x3,3,125,123.051,121.752,121.319,11553.9
M125x2,2,125,123.701,122.835,122.546,11788.8
"M125x1,5",1.5,125,124.026,123.376,123.160,11907.1
M130,6,130,126.103,123.505,122.639,11806.6
M130x4,4,130,127.402,125.670,125.093,12283.8
M130x3,3,130,128.051,126.752,126.319,12525.9
M130x2,2,130,128.701,127.835,127.546,12770.4
"M130x1,5",1.5,130,129.026,128.376,128.160,12893.6
M135,6,135,131.103,128.505,127.639,12789.0
M135x4,4,135,132.402,130.670,130.093,13285.4
M135x3,3,135,133.051,131.752,131.319,13537.2
M135x2,2,135,133.701,132.835,132.546,13791.3
"M135x1,5",1.5,135,134.026,133.376,133.160,13919.2
M140,6,140,136.103,133.505,132.639,13810.5
M140x4,4,140,137.402,135.670,135.093,14326.2
M140x3,3,140,138.051,136.752,136.319,14587.6
M140x2,2,140,138.701,137.835,137.546,14851.4
"M140x1,5",1.5,140,139.026,138.376,138.160,14984.2
M145,6,145,141.103,138.505,137.639,14871.4
M145x4,4,145,142.402,140.670,140.093,15406.3
M145x3,3,145,143.051,141.752,141.319,15677.4
M145x2,2,145,143.701,142.835,142.546,15950.8
"M145x1,5",1.5,145,144.026,143.376,143.160,16088.3
M150,6,150,146.103,143.505,142.639,15971.5
M150x4,4,150,147.402,145.670,145.093,16525.7
M150x3,3,150,148.051,146.752,146.319,16806.4
M150x2,2,150,148.701,147.835,147.546,17089.4
"M150x1,5",1.5,150,149.026,148.376,148.160,17231.8
M155,6,155,151.103,148.505,147.639,17110.8
M155x4,4,155,152.402,150.670,150.093,17684.3
M155x3,3,155,153.051,151.752,151.319,17974.6
M155x2,2,155,153.701,152.835,152.546,18267.2
M160,6,160,156.103,153.505,152.639,18289.4
M160x4,4,160,157.402,155.670,155.093,18882.1
M160x3,3,160,158.051,156.752,156.319,19182.1
M160x2,2,160,158.701,157.835,157.546,19484.3
M165,6,165,161.103,158.505,157.639,19507.2
M165x4,4,165,162.402,160.670,160.093,20119.2
M165x3,3,165,163.051,161.752,161.319,20428.8
M165x2,2,165,163.701,162.835,162.546,20740.7
M170,6,170,166.103,163.505,162.639,20764.3
M170x4,4,170,167.402,165.670,165.093,21395.6
M170x3,3,170,168.051,166.752,166.319,21714.8
M170x2,2,170,168.701,167.835,167.546,22036.3
M175,6,175,171.103,168.505,167.639,22060.7
M175x4,4,175,172.402,170.670,170.093,22711.2
M175x3,3,175,173.051,171.752,171.319,23040.0
M175x2,2,175,173.701,172.835,172.546,23371.2
M180,6,180,176.103,173.505,172.639,23396.3
M180x4,4,180,177.402,175.670,175.093,24066.1
M180x3,3,180,178.051,176.752,176.319,24404.5
M180x2,2,180,178.701,177.835,177.546,24745.3
M185,6,185,181.103,178.505,177.639,24771.1
M185x4,4,185,182.402,180.670,180.093,25460.2
M185x3,3,185,183.051,181.752,181.319,25808.2
M185x2,2,185,183.701,182.835,182.546,26158.7
M190,6,190,186.103,183.505,182.639,26185.2
M190x4,4,190,187.402,185.670,185.093,26893.5
M190x3,3,190,188.051,186.752,186.319,27251.2
M190x2,2,190,188.701,187.835,187.546,27611.3
M195,6,195,191.103,188.505,187.639,27638.5
M195x4,4,195,192.402,190.670,190.093,28366.1
M195x3,3,195,193.051,191.752,191.319,28733.4
M195x2,2,195,193.701,192.835,192.546,29103.1
M200,6,200,196.103,193.505,192.639,29131.1
M200x4,4,200,197.402,195.670,195.093,29878.0
M200x3,3,200,198.051,196.752,196.319,30254.9
M200x2,2,200,198.701,197.835,197.546,30634.3
M205,6,205,201.103,198.505,197.639,30663.0
M205x4,4,205,202.402,200.670,200.093,31429.1
M205x3,3,205,203.051,201.752,201.319,31815.7
M210,6,210,206.103,203.505,202.639,32234.0
M210x4,4,210,207.402,205.670,205.093,33019.4
M210x3,3,210,208.051,206.752,206.319,33415.6
